ID,POINT_X,POINT_Y,NBR_ACC,ACC_2022,ACC_2023,FATAL_ACC,SEVERE_ACC,SEV3_ACC,SEV4_ACC,NBR_INJ,NBR_KILLED
436,-118.493552,34.2284317,1,1,1,0,0,1,1,1,0
181,-118.493552,34.2284317,1,1,1,0,0,1,1,1,0
232,-118.5712027,34.17657089,1,1,1,0,1,0,0,2,0
64,-118.3000055,34.08850861,1,1,1,0,0,0,0,0,0
754,-118.2916921,34.06902695,1,1,1,0,0,0,0,0,0
784,-118.2811203,34.09311295,1,1,1,0,0,0,0,0,0
357,-118.2604342,34.05967331,1,1,1,0,0,0,0,0,0
264,-118.4702021,34.06523514,1,1,1,0,0,0,0,1,0
535,-118.4702021,34.06523514,1,1,1,0,0,0,0,1,0
223,-118.3764544,34.04252625,1,1,1,0,1,0,0,1,0
380,-118.3764544,34.04252625,1,1,1,0,1,0,0,1,0
583,-118.3628175,34.08378601,1,1,1,0,0,0,0,2,0
43,-118.3628175,34.08378601,1,1,1,0,0,0,0,2,0
307,-118.3330115,34.02362442,1,1,1,0,0,0,0,0,0
223,-118.3330115,34.02362442,1,1,1,0,0,0,0,0,0
591,-118.5729525,34.19380188,1,1,1,0,0,0,0,0,0
465,-118.2396521,34.05476379,3,2,2,0,0,1,1,3,0
102,-118.3089221,34.02557373,1,1,1,0,0,1,1,2,0
991,-118.2564821,33.97476578,6,5,5,0,2,2,2,8,0
963,-118.2564821,33.97476578,6,5,5,0,2,2,2,8,0
596,-118.2505121,34.0244751,3,2,2,0,1,1,1,6,0
922,-118.3004722,34.08556366,1,1,1,0,0,0,0,2,0
118,-118.3385798,34.09797669,1,1,1,0,0,0,0,0,0
154,-118.3574922,34.24703598,2,1,1,0,1,0,0,1,0
914,-118.3930322,34.22161484,1,1,1,0,0,0,0,0,0
480,-118.484189,34.05726242,1,1,1,0,0,0,0,0,0
145,-118.3096042,34.08953857,1,1,1,0,0,0,0,0,0
695,-118.3386699,34.07098389,1,1,1,0,0,0,0,1,0
941,-118.3749488,33.9745369,1,1,1,0,0,1,1,2,0
642,-118.4459721,34.03538513,1,1,1,0,0,0,0,1,0
224,-118.3089321,34.01461411,1,1,1,0,0,0,0,0,0
521,-118.3452115,34.01834869,1,1,1,0,0,0,0,0,0
69,-118.5640779,34.19382477,1,1,1,0,1,0,0,2,0
769,-118.5399869,34.20838165,1,1,1,0,0,0,0,0,0
119,-118.4138221,34.19395447,1,1,1,0,0,1,1,1,0
781,-118.5447622,34.18006897,1,1,1,0,0,0,0,0,0
158,-118.1780821,34.08447266,1,1,1,0,0,1,1,2,0
802,-118.2750378,34.06427002,1,1,1,0,0,0,0,0,0
648,-118.3090222,33.96457672,1,1,1,0,1,0,0,3,0
791,-118.3284521,34.04468536,2,2,2,0,1,1,1,5,0
929,-118.3474705,34.04548264,1,1,1,1,0,0,0,0,1
300,-118.4309304,34.27443314,1,1,1,0,0,0,0,0,0
297,-118.4294043,33.98134613,1,1,1,0,0,0,0,0,0
271,-118.3267641,34.04774094,1,1,1,0,0,0,0,0,0
299,-118.4327866,34.06256867,1,1,1,0,0,0,0,0,0
413,-118.3671143,34.06114197,1,1,1,0,0,1,1,1,0
731,-118.4663691,33.98728943,1,1,1,0,0,0,0,0,0
80,-118.2652721,34.00816345,1,1,1,0,0,1,1,2,0
490,-118.3574922,34.24703598,2,1,1,0,1,0,0,1,0
96,-118.4693156,34.21854401,1,1,1,0,0,0,0,0,0
216,-118.2627589,34.04626846,1,1,1,0,0,0,0,1,0
889,-118.3785986,33.94198227,1,1,1,0,0,0,0,0,0
649,-118.3042596,34.07371521,1,1,1,0,0,0,0,0,0
129,-118.4701222,34.05252457,1,1,1,0,0,0,0,0,0
848,-118.2975069,34.05263519,1,1,1,0,0,1,1,1,0
145,-118.3496974,34.08354187,1,1,1,0,0,0,0,0,0
546,-118.2749211,33.79052353,1,1,1,0,0,0,0,0,0
477,-118.4310854,34.0003891,1,1,1,1,0,0,0,0,1
97,-118.3028724,34.06532288,1,1,1,0,0,0,0,0,0
317,-118.2327222,34.03825378,1,1,1,0,0,0,0,0,0
866,-118.2069234,34.03137207,1,1,1,0,0,0,0,0,0
32,-118.2769724,34.04053497,1,1,1,0,0,0,0,0,0
470,-118.4341136,34.30403519,1,1,1,0,0,0,0,0,0
333,-118.1971975,34.06365204,1,1,1,0,0,0,0,0,0
571,-118.5622822,34.20827866,1,1,1,0,0,1,1,1,0
961,-118.2916921,34.06902695,1,1,1,0,0,0,0,0,0
98,-118.3604625,34.03552628,1,1,1,0,0,0,0,2,0
100,-118.3898928,34.03290064,1,1,1,0,0,0,0,0,0
298,-118.3549021,34.02549362,1,1,1,0,0,1,1,1,0
999,-118.4754281,33.99166107,1,1,1,0,0,0,0,0,0
143,-118.344287,34.09614563,1,1,1,0,0,0,0,0,0
273,-118.3042596,34.07371521,1,1,1,0,0,0,0,0,0
817,-118.3228946,34.04746246,1,1,1,0,0,1,1,1,0
156,-118.3228946,34.04746246,1,1,1,0,0,1,1,1,0
277,-118.4327866,34.06256867,1,1,1,0,0,0,0,0,0
502,-118.3350533,34.02557755,1,1,1,0,0,0,0,0,0
574,-118.3138421,34.01083374,1,1,1,0,0,1,1,1,0
100,-118.2871121,33.97073364,2,1,1,0,0,1,1,3,0
3,-118.4392135,33.96828842,1,1,1,0,0,0,0,0,0
325,-118.3731822,34.08362579,1,1,1,0,0,0,0,0,0
316,-118.3310721,34.10157394,1,1,1,0,0,1,1,1,0
772,-118.3614224,34.07157517,1,1,1,0,0,0,0,1,0
266,-118.3350533,34.02557755,1,1,1,0,0,0,0,0,0
470,-118.2542221,33.94097519,1,1,1,0,0,0,0,0,0
45,-118.2975069,34.05263519,1,1,1,0,0,1,1,1,0
355,-118.2748992,33.93828964,1,1,1,0,0,0,0,0,0
662,-118.2842309,34.05335236,1,1,1,0,0,0,0,0,0
797,-118.2739779,33.93100357,1,1,1,0,0,0,0,1,0
506,-118.2739779,33.93100357,1,1,1,0,0,0,0,1,0
114,-118.2916621,34.06350708,1,1,1,0,0,1,1,1,0
759,-118.2916621,34.06350708,1,1,1,0,0,1,1,1,0
971,-118.3720984,34.02806854,1,1,1,0,0,0,0,0,0
712,-118.4336521,34.00373459,1,1,1,0,0,1,1,1,0
596,-118.3489821,33.98529434,1,1,1,0,0,0,0,0,0
660,-118.3138421,34.01083374,1,1,1,0,0,1,1,1,0
829,-118.2602622,34.02324677,2,1,1,0,0,1,1,5,0
642,-118.5640779,34.19382477,1,1,1,0,1,0,0,2,0
992,-118.3041867,34.0614357,1,1,1,0,0,0,0,0,0
580,-118.3041867,34.0614357,1,1,1,0,0,0,0,0,0
259,-118.3010339,34.04754257,1,1,1,0,0,0,0,0,0
770,-118.3028724,34.06532288,1,1,1,0,0,0,0,0,0
20,-118.2327222,34.03825378,1,1,1,0,0,0,0,0,0
792,-118.2994922,34.10538483,1,1,1,0,0,0,0,0,0
887,-118.2585403,34.09311295,1,1,1,0,0,0,0,0,0
662,-118.2561021,34.05158615,3,3,3,0,1,1,1,6,0
291,-118.5885716,34.25256348,1,1,1,0,0,1,1,1,0
362,-118.2204989,34.02853394,1,1,1,0,0,0,0,0,0
20,-118.4553722,34.27510452,1,1,1,0,0,0,0,0,0
165,-118.2189802,34.03564453,1,1,1,0,0,0,0,0,0
123,-118.2827322,34.00375366,2,2,2,0,0,2,2,5,0
3,-118.2212509,34.06967163,1,1,1,0,0,0,0,0,0
802,-118.1971975,34.06365204,1,1,1,0,0,0,0,0,0
326,-118.2381422,34.04327393,1,1,1,0,0,0,0,0,0
794,-118.3615335,34.16503906,1,1,1,0,1,0,0,1,0
762,-118.3615335,34.16503906,1,1,1,0,1,0,0,1,0
228,-118.2740164,34.00212479,1,1,1,0,0,0,0,0,0
348,-118.2879421,33.73422623,1,1,1,0,0,1,1,1,0
93,-118.4350322,34.30613327,1,1,1,0,0,0,0,0,0
784,-118.2746785,34.00821304,1,1,1,0,0,0,0,0,0
63,-118.5360722,34.20838547,4,4,4,0,0,2,2,7,0
802,-118.2750483,34.06428146,1,1,1,0,0,0,0,0,0
335,-118.3283702,34.02431107,1,1,1,0,0,1,1,1,0
149,-118.3283702,34.02431107,1,1,1,0,0,1,1,1,0
439,-118.2072322,34.0477066,2,2,2,0,1,0,0,2,0
133,-118.2072322,34.0477066,2,2,2,0,1,0,0,2,0
817,-118.1841649,34.12104416,1,1,1,0,1,0,0,1,0
819,-118.214402,34.07419968,1,1,1,0,0,0,0,0,0
13,-118.2082224,34.08958435,1,1,1,0,0,0,0,0,0
192,-118.3964421,34.1462822,1,1,1,0,0,0,0,0,0
810,-118.3964421,34.1462822,1,1,1,0,0,0,0,0,0
270,-118.3877926,34.19207382,1,1,1,0,1,0,0,1,0
569,-118.4287403,34.21650314,1,1,1,0,0,0,0,0,0
451,-118.4752773,34.25009155,1,1,1,0,0,0,0,0,0
829,-118.5469089,34.17248535,1,1,1,0,1,0,0,3,0
519,-118.3976233,34.19388962,1,1,1,0,0,0,0,0,0
972,-118.3976233,34.19388962,1,1,1,0,0,0,0,0,0
146,-118.2657221,34.03150559,3,3,3,0,0,1,1,2,0
233,-118.2812837,33.97466563,1,1,1,0,0,0,0,3,0
510,-118.4622585,34.15314865,1,1,1,0,0,1,1,1,0
881,-118.5351216,34.23548508,1,1,1,0,0,0,0,1,0
495,-118.5284722,34.20453644,1,1,1,0,0,0,0,0,0
82,-118.3878122,34.18302536,1,1,1,0,0,0,0,1,0
600,-118.3074338,34.05187225,1,1,1,0,0,0,0,0,0
607,-118.3181079,34.10525513,1,1,1,0,0,0,0,1,0
736,-118.3963421,33.94503021,1,1,1,0,0,0,0,0,0
290,-118.2872141,33.75115585,2,2,2,0,0,0,0,1,0
310,-118.6523366,34.17712402,1,1,1,0,0,0,0,0,0
356,-118.2576325,33.78023911,1,1,1,0,1,0,0,1,0
466,-118.3460621,34.02547455,1,1,1,0,0,0,0,0,0
193,-118.2327524,33.94310379,1,1,1,0,1,0,0,2,0
957,-118.562064,34.16275024,1,1,1,0,0,0,0,0,0
861,-118.3604625,34.03552628,1,1,1,0,0,0,0,2,0
87,-118.3096042,34.08953857,1,1,1,0,0,0,0,0,0
332,-118.3310721,34.10157394,1,1,1,0,0,1,1,1,0
366,-118.4410865,34.15863419,1,1,1,0,1,0,0,1,0
658,-118.2784622,34.0165863,1,1,1,0,0,1,1,1,0
493,-118.2198721,34.02427673,4,3,3,0,1,1,1,4,0
410,-118.2857621,33.72786331,1,1,1,0,1,0,0,2,0
686,-118.2652721,34.00816345,1,1,1,0,0,1,1,2,0
401,-118.2827292,33.95574188,1,1,1,0,0,1,1,1,0
674,-118.3181756,33.99809647,1,1,1,0,0,0,0,0,0
651,-118.3034722,34.08353424,2,1,1,0,1,0,0,1,0
459,-118.2842309,34.05335236,1,1,1,0,0,0,0,0,0
352,-118.3720984,34.02806854,1,1,1,0,0,0,0,0,0
728,-118.2641721,34.03342438,1,1,1,0,0,1,1,3,0
231,-118.3489821,33.98529434,1,1,1,0,0,0,0,0,0
899,-118.385849,33.95994186,1,1,1,0,0,1,1,3,0
441,-118.2543822,34.07545471,1,1,1,0,0,0,0,1,0
988,-118.3010339,34.04754257,1,1,1,0,0,0,0,0,0
764,-118.3140211,34.06331253,1,1,1,0,0,0,0,0,0
573,-118.2069234,34.03137207,1,1,1,0,0,0,0,0,0
32,-118.3091321,34.06352615,1,1,1,0,0,0,0,1,0
844,-118.4536698,34.18264389,1,1,1,0,0,0,0,0,0
724,-118.4410865,34.15863419,1,1,1,0,1,0,0,1,0
464,-118.4562738,34.2012558,1,1,1,0,0,0,0,0,0
574,-118.5885716,34.25256348,1,1,1,0,0,1,1,1,0
656,-118.2769724,34.04053497,1,1,1,0,0,0,0,0,0
911,-118.4138021,34.15761566,1,1,1,0,0,1,1,1,0
1,-118.3889922,34.27968597,1,1,1,0,0,0,0,0,0
151,-118.2594174,33.78068161,1,1,1,0,0,0,0,0,0
213,-118.4290822,34.18665314,1,1,1,0,0,0,0,0,0
125,-118.2544721,34.0459137,3,2,2,0,0,2,2,4,0
321,-118.3762221,34.05332565,1,1,1,0,0,1,1,4,0
686,-118.42415,34.3175621,1,1,1,0,0,0,0,0,0
672,-118.4138221,34.19395447,1,1,1,0,0,1,1,1,0
50,-118.2746785,34.00821304,1,1,1,0,0,0,0,0,0
109,-118.2625063,34.01972961,1,1,1,0,0,0,0,0,0
228,-118.2783121,33.98991013,1,1,1,0,0,0,0,0,0
169,-118.2916122,34.04422379,1,1,1,0,0,0,0,1,0
766,-118.217003,34.03223801,1,1,1,0,0,0,0,0,0
919,-118.2727122,34.06295395,2,2,2,0,0,1,1,2,0
376,-118.2727122,34.06295395,2,2,2,0,0,1,1,2,0
212,-118.1841649,34.12104416,1,1,1,0,1,0,0,1,0
